岗位名称,最低薪资,最高薪资,公司名称,地区,地市,经验诉求,学历要求,招录人数,特殊要求,专业要求,待遇福祉,职位信息,职能类别,关键字,上班地址,工作ID,公司介绍,性质,人数规模,类属,经度,维度,公司地址,区域
数据分析/BI,6,8千/月,深圳市静甫服装设计有限公司,深圳-南山区,深圳,2年经验,,招若干人,,,",五险一金,补充公积金,员工旅游,年终奖金,专业培训,",职位信息 职位信息 岗位职责: 1、淘宝店铺业务数据的收集与跟进；&nbsp; 2、淘宝店铺货品、活动数据整理与分析；&nbsp; 3、销售数据、竞品数据、CRM系统数据分析；&nbsp; 4、固定报表制作。 5、商品数据分析。 任职资格: 1、熟悉Excel，能熟练运用透视表及部分常用函数，了解VBA&nbsp;；&nbsp; 2、具有一定的数据敏感度与积极的学习能力，同时善于团队沟通合作；&nbsp; 3、有一定零售/服装类业务经验者优先考虑；&nbsp; 4、了解Oracle/SQL语言（掌握函数、子查询、联结等），优先考虑。  5、大专或以上，两年或以上工作经验； ,",职能类别：,其他,",,上班地址：民企科技园7栋6楼,108438879,公司成立于2007年，主要从事阿里电商平台高端女装开发和销售。旗下自有品牌Dimple hsu（天猫旗舰店和三金冠淘宝店铺），以领先的经营模式汇集百万忠实粉丝，处于淘宝女装销售排名前列…… 每个菇凉心中都有个美美的OL梦！穿Prada女魔头即视感有木有！ 以下就可能是你每天需要工作的日常： 1. 首先你自己要美美哒，每天穿各种时尚新装粗门上班，可以和时装杂志编辑一样出没于一线服装供应链，洽谈全淘宝女人们都想买到的高端成衣。 2. 伏案写写画画，与伙伴探讨描绘心中最美的服装搭配; 与时尚圈内的达人，交流着廓形、收腰、高支棉、双绉丝、马海毛、山羊绒、阔腿裤、貉子毛……加入我们的团队，以后你就是时尚的教母！ 3. 教（suo）育（shi）客人如何填满衣柜，看着满满的工作室里堆积的帽子围巾上装下装鞋子皮具，构想模特穿着的模样; 4. 出现在影棚街角商场咖啡厅等等等等， 一边吃喝玩乐一边思考构图给模特拍照，然后给照片们做完美的大后期；  我们是一个年轻而有创意、勤奋而有激情的团队，我们也要求你具有想象力，勤奋，对时尚有高超的敏感度，更要有对美的无限追求。 我们提供有竞争力的薪资，并提供优厚的待遇：五险一金，年度旅游，带薪年假，年度体检，公司聚餐等团队活动。 期待你的加入！约吗？  工作地点：深圳市南山区民企科技园7栋6楼（请勿直接到访，合则约见）  ,民营公司,50-150人,"服装,纺织,皮革",22.591884,113.968728,民企科技园7栋6楼,南山区
销售助理（营运数据分析）,3,4.5千/月,湖北益丰大药房连锁有限公司,武汉,武汉,1年经验,大专,招1人,,,",五险一金,员工旅游,餐饮补贴,通讯补贴,专业培训,年终奖金,",职位信息 职责概要： （1）、负责分公司经营数据日报、周报、月报的数据整理与通报； （2）、负责门店月度激励、季度绩效数据的初拟与核对； （3）、负责各项任务的数据提供、制定、下发； （4）、新老店门店陈列图的设计，通过合理设计门店陈列图，提升店面形象和提升品类贡献率； （5）、日常及上级交办的其他事务工作。 职位要求： 1、大专以上学历，有一年以上工作经验； 2、具有较强的数据分析能力和洞察能力； 3、沟通能力强，熟悉公司运营制度、流程； 4、熟练使用办公软件，具备较好的计算机知识和网络知识。 ,",职能类别：,业务分析专员/助理,","关键字：,数据分析,",上班地址：中南国际城B2座12楼,108443944,&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;中国沪市主板上市连锁药房——益丰大药房是全国大型药品零售连锁企业，截止2017年3月31日，公司在湖南、湖北、上海、江苏、浙江、江西、广东七省市开设了1595家直营医药连锁门店，位列全国连锁药店综合实力和综合竞争力五强，是行业内少有的母公司与跨省子公司均实现盈利的公司。 创立以来，公司始终高举“平价、专业”大旗，秉承“一切以顾客价值为导向”的核心理念，坚持以顾客为中心进行商业模式的创新和变革，为顾客健康提供超值商品和专业服务。2001年6月，益丰大药房首创中南五省“开架自选，平价销售”平价药品超市模式，迅速走向湖南全省市场。2003年，公司改变供应链利益分配方式，说服厂商把巨额广告、营销和中间环节费用让利给顾客，创立顾客、益丰、厂商三方得利的“三得利”经营模式，迅速挺进中南华东，并取得在中南华东的市场领先地位。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;公司不仅注重快速扩张，更注重精细化标准化运营管理，打造了六大核心运营系统，涵盖新店拓展、门店营运、商品管理、信息管理、顾客服务、绩效考核等，成功地实现了跨省经营和快速高效复制。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;公司引进了国际先进的信息管理系统（SAP/ERP）、物流管理系统（WMS）、仓库控制系统（WCS），实现了业务、财务、人力资源一体化管理，并建成了行业内自动化、信息化程度数一数二的大型现代医药物流中心。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;公司积极开拓多元化经营大健康药房新业态，从药品向保健品、健康食品、个人护理、母婴产品等健康关联的商品延伸，通过信息化会员管理系统，从小病治疗和药事服务向用药跟踪、慢病管理、保健预防等健康管理服务延伸，让顾客真正实现与健康相关联商品和服务的一站式购齐。2013年，公司启动了医药电商业务，建立并运营了B2C益丰网上药店官方商城，入驻天猫医药馆、京东商城等开设旗舰店构建多平台体系，2015年，成立电商事业群，下设B2C、O2O、CRM等电商事业部，实施以O2O为主要业务发展目标的“B2C+O2O”双驱动的电商战略。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;公司未来将长期专注于医药零售行业，并在今后三年内，继续聚焦中南华东，积极拓展全国市场，通过品牌形象、专业服务、商品创新、业务模式创新，持续提升核心竞争力，打造顾客信赖、社会尊重的连锁药店领导品牌。 ,上市公司,1000-5000人,"批发,零售",30.540232,114.336074,中南国际城B2座12楼,武汉
销售助理（数据分析）,3.5,4.5千/月,湖北益丰大药房连锁有限公司,武汉,武汉,1年经验,大专,招1人,,,",五险一金,员工旅游,餐饮补贴,通讯补贴,专业培训,年终奖金,",职位信息 职责概要： （1）、负责分公司经营数据日报、周报、月报的数据整理与通报； （2）、负责门店月度激励、季度绩效数据的初拟与核对； （3）、负责各项任务的数据提供、制定、下发； （4）、新老店门店陈列图的设计，通过合理设计门店陈列图，提升店面形象和提升品类贡献率； （5）、日常及上级交办的其他事务工作。 职位要求： 1、大专以上学历，有一年以上工作经验； 2、具有较强的数据分析能力和洞察能力； 3、沟通能力强，熟悉公司运营制度、流程； 4、熟练使用办公软件，具备较好的计算机知识和网络知识。 ,",职能类别：,业务分析专员/助理,","关键字：,数据分析,",上班地址：中南国际城B2座12楼,108444123,&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;中国沪市主板上市连锁药房——益丰大药房是全国大型药品零售连锁企业，截止2017年3月31日，公司在湖南、湖北、上海、江苏、浙江、江西、广东七省市开设了1595家直营医药连锁门店，位列全国连锁药店综合实力和综合竞争力五强，是行业内少有的母公司与跨省子公司均实现盈利的公司。 创立以来，公司始终高举“平价、专业”大旗，秉承“一切以顾客价值为导向”的核心理念，坚持以顾客为中心进行商业模式的创新和变革，为顾客健康提供超值商品和专业服务。2001年6月，益丰大药房首创中南五省“开架自选，平价销售”平价药品超市模式，迅速走向湖南全省市场。2003年，公司改变供应链利益分配方式，说服厂商把巨额广告、营销和中间环节费用让利给顾客，创立顾客、益丰、厂商三方得利的“三得利”经营模式，迅速挺进中南华东，并取得在中南华东的市场领先地位。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;公司不仅注重快速扩张，更注重精细化标准化运营管理，打造了六大核心运营系统，涵盖新店拓展、门店营运、商品管理、信息管理、顾客服务、绩效考核等，成功地实现了跨省经营和快速高效复制。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;公司引进了国际先进的信息管理系统（SAP/ERP）、物流管理系统（WMS）、仓库控制系统（WCS），实现了业务、财务、人力资源一体化管理，并建成了行业内自动化、信息化程度数一数二的大型现代医药物流中心。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;公司积极开拓多元化经营大健康药房新业态，从药品向保健品、健康食品、个人护理、母婴产品等健康关联的商品延伸，通过信息化会员管理系统，从小病治疗和药事服务向用药跟踪、慢病管理、保健预防等健康管理服务延伸，让顾客真正实现与健康相关联商品和服务的一站式购齐。2013年，公司启动了医药电商业务，建立并运营了B2C益丰网上药店官方商城，入驻天猫医药馆、京东商城等开设旗舰店构建多平台体系，2015年，成立电商事业群，下设B2C、O2O、CRM等电商事业部，实施以O2O为主要业务发展目标的“B2C+O2O”双驱动的电商战略。 &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;公司未来将长期专注于医药零售行业，并在今后三年内，继续聚焦中南华东，积极拓展全国市场，通过品牌形象、专业服务、商品创新、业务模式创新，持续提升核心竞争力，打造顾客信赖、社会尊重的连锁药店领导品牌。 ,上市公司,1000-5000人,"批发,零售",30.540232,114.336074,中南国际城B2座12楼,武汉
数据分析师（实习）,3,5千/月,上海贝易电子商务有限公司,上海-闵行区,上海,无工作经验,本科,招1人,,,",周末双休,免费午餐,专业培训,餐饮补贴,节日福利,",职位信息 岗位职责 1、&nbsp;协助公司基础数据的搜集和整理； 2、定期完成公司相关报表的制作； 3、&nbsp;完成公司安排的其他事宜。 任职资格 1、统招本科实习生，专业不限，统计学、数学、计算机等相关专业优先； 3、具备操作基本OFFICE技能； 4、对工作细心、认真、仔细，有责任心、敬业精神。 ,",职能类别：,其他,","关键字：,实习生,",上班地址：上海市闵行区九星虹桥商务中心,108445593,贝易，来源于“赐”字，寓意每一个孩子都是天赐的宝贝。  我们是一家专注于母婴行业电商发展的公司，向社会提供以母婴用品以及玩具为主营业务。目前天猫店“贝易母婴专营店”销量稳居母婴类目领先水平，日销30万左右，2016年全年销售额稳超1.2个亿，双十一力压群芳日销超1300万；品牌旗舰店2016年3月份重磅开启，截止年底销售额破2000万，现在的我们需要更多有创业激情的人加入我们，共同打造一个全新的母婴电商行业霸主。  2016年，二胎政策放开，我们看到了母婴行业无限的商机与可能，在已有的扎实基础上，我们需要更多的电商牛人，一起拓展我们的版图，更加壮大我们的队伍，与公司一同成长的岁月，必将是个人梦想实践，认可及物质满足的双丰收过程，有志之士，勇敢地加入我们吧！  我们非常乐于以及着力于提供一个开放，热情，乐于分享，勇于创新的平台，让每一个加入我们的伙伴都成为商业伙伴，在未来的3-5年里，至少能让每一个人成为行业屈指可数的电商运营的牛人，达到自己创造一片天地，独立门户的地步。  我们办公地点位于上海贸易中心——虹桥商务区的九星虹桥商务中心，毗邻阿里巴巴上海总部。地铁2/10号线虹桥火车站出站直达，出站就是集办公、购物、餐饮、娱乐、演艺于一体的、得天独厚的地理优势、齐全的生活娱乐设施共同造就了完美的生活工作娱乐圈。   如果想要更多了解我们，请移步我们目前大力推广的两家店铺，后续我们将开拓更多的店铺以拓展我们的版图： https://beiyimy.tmall.com/ https://beie.tmall.com/  我们对未来很有信心  欢迎你加入我们！,民营公司,150-500人,"互联网,电子商务批发,零售",31.200516,121.315654,上海市闵行区九星虹桥商务中心,闵行区
运营助理/数据分析,4,8千/月,苏州贝尔塔数据技术有限公司,苏州-工业园区,苏州,无工作经验,本科,招1人,,,",五险一金,员工旅游,年终奖金,餐饮补贴,",职位信息 【我们需要你】 1、负责用户运营和线上推广，包括拉新、促活、留存等；了解推广平台：如ASO、SEM、信息流等； 2、有文案功底，运营相关的方案撰写、创意设计、活动策划能力； 3、有互联网数据分析经验，从日、周、月的运营数据中洞察问题，输出可视化的数据分析报告； 4、对运营指标和数据进行提取、处理、挖掘、分析，给与团队运营数据支撑； 5、能承受压力，善于发现并总结工作情况。 【我们希望你】 1、应届或工作经验1年以内，本科及以上学历； 2、良好的沟通、表达能力； 3、有互联网公司运营数据岗位实习经验者优先； 4、熟练使用office办公软件，能独立完成数据分析报告。 【我们能提供】 1、温馨有活力的工作环境： 开放生活区高清电视、VR 游戏机、飞盘、桌上足球等多种娱乐器材… 2、极具竞争力的薪资： 高于市场水平的薪资、完善的五险一金、丰厚年终奖、年度调薪 3、贴心的员工福利： 早中餐加班餐、高标准的年度体检、全年免费健身、每年两次全员高端旅游、定期举办羽毛球、篮球比赛、无限量供应的各种免费零食和饮料、节假日礼品… 4、广阔的发展空间： 完善的新人培训（岗位培训、导师制）; 专业技能提升培训公司内部技术交流会; 参加国际学术交流、参观硅谷高科技公司的机会; 各种与互联网牛人零距离接触的外训; 和很多名校毕业、经验丰富的优秀伙伴一起工作，接触最前沿的技术，快速成长… ,",职能类别：,业务分析专员/助理,其他,","关键字：,运营,数据分析,报表统计,",上班地址：苏州市工业园区东长路88号2.5产业园A2幢203室,108453332,关于贝尔塔  苏州贝尔塔数据技术有限公司 （ 以下简称贝尔塔） 成立于2014年5月，是一家以技术为驱动，基于海量大数据，为金融、投资、法律和商务用户提供企业信息画像、风险管理、营销决策等可量化数据服务的专业机构。  目前，贝尔塔拥有员工近百人，90%以上员工毕业于国内外名校（211及985高校），开发人员平均拥有5年以上开发经验，在APP移动开发、前端开发、大数据挖掘等领域拥有丰富经验。  关于启信宝  启信宝是贝尔塔运营的企业大数据平台，目前拥有8000万家企业数据，涵盖工商、司法、财务、舆情等近百个数据维度。  启信宝个人版APP及网页上线于2015年5月，目前用户已接近千万。  启信宝企业版上线于2015年12月，在不到一年的时间里，启信宝积累了超过500家企业客户，其中包括中国银行、中国农业银行、中国工商银行、平安财险、大成律师事务所等多家知名企业。  启信宝的技术实力、资源储备与发展潜力领跑同行业，在易观智库的《2016中国征信行业专题研究报告》中，启信宝在互联网大数据征信板块中处于领先地位。  网址：http://www.qixin.com/,创业公司,50-150人,"计算机服务(系统、数据服务、维修)互联网,电子商务",31.313035,120.782418,苏州市工业园区东长路88号2.5产业园A2幢203室,工业园区
Planning and Data Analyst 计划与数据分析专员(职位编号：779),0.8,1.2万/月,瓦菱工业技术（上海）有限公司,上海-静安区,上海,3-4年经验,本科,招1人,英语良好,,Null,"职位信息  The Role: Do you want to takeresponsibility in leading and coordinating the demand planning process and drivecompany wild S&amp;OP process? Are you willing to take charge of company demand planning andinventory control?  We're looking for someone like that to help us by:  Developingstrategic and operational plans for the work group, managing execution, andmeasuring results. Leads andchampions forecasting strategies and efforts that increase efficiency,profitability, and sustain company growth. Developsrelationships with business units forecasting and supply chain teams to ensurecohesive forecasting and supply chain strategies. Plans andmanages business unit/department processes and practices to ensure thatprograms are aligned with company business goals and objectives. Monitorand manage total inventory Providingfunctional expertise and executing functional responsibilities: Communicatesopportunities and risks to management on a proactive basis. Dive deep into our data to uncover actionable insights and make recommendations that will influence the company's strategic decisions. Create, support and maintain data models, reports, and dashboards as well as find creative solutions for a variety of challenges facing our growing data requirements.  Desired Characteristics:  Bachelor's Degree in Economics, Commerce, Mathematicsor similar Minimum 3years’ experience in a high SKU seasonal business Progressive experience in planning, forecasting, andinventory management Proficiencyin forecasting or statistical software. Practical knowledge of stats packages(i.e. SAS, SPSS or similar) and/or forecasting tools (i.e. Forecast Pro, JohnGalt Forecast X, Smart Forecast or similar) is a plus Stronganalytical skills Can read and write English ",",职能类别：,生产计划/物料管理(PMC),",,上班地址：西康路928号创展大厦,108455827,"Vallen is the leader in intergrated supply and MRO Industrial Distribution.We formerly Hagemeyer is a member of the Sonepar Group.Sonepar - the world’s number one distributor of electrical products and related services.  How do we stay at the forefront of our field? By having people like you.  People who can make genuine connections with customers. People who can inspire confidence over the phone and face to face. People who can spot a good sales opportunity when they see one. People who can use their own initiative while working as part of a successful team.  If you want to make the most of your unique qualities, build your career with us.  Company Website: www.vallen.asia",外资（欧美）,50-150人,"贸易,进出口",31.245817,121.449818,西康路928号创展大厦,静安区
数据分析师(J11595),0.7,1万/月,深圳依时货拉拉科技有限公司,深圳,深圳,3-4年经验,本科,招1人,,,",五险一金,绩效奖金,专业培训,上升空间大,",职位信息 1、负责各业务的数据分析，进行数据提取、数据报表分析，建立数据模型用数据推动业务发展； 2、搭建所负责业务的数据指标体系，确定各业务关键指标的内在关联。具备指标梳理和底层数据梳理能力； 3、根据数据来检测销售工作的真实性，并作出解决方案，以优化系统功能 4、为业务部门决策提供分析方案和数据支持 5、挖掘业务增长点 6、及时反馈/上报项目部销售负责人数据背后的原因，并提供解决方案 任职资格: 1、3-5年以上互联网、金融行业、数据分析、数据挖掘工作经验； 2、统计、运筹、数学、应用数学、信息技术、计算机等相关专业，本科及以上学历； 3、具备大数据的处理能力，熟练掌握至少一种以下数据分析/数据挖掘软件，如R、SPSS Clementine、Python、SAS等，熟悉数据分析的体系架构与方法。 4、有大数据并行处理经验，能使用Hadoop/Hive分析数据；能高效的与技术团队进行沟通； 5、对数据与业务方面有深入理解，足够敏感性，有较强的逻辑分析能力，独立思考能力； 6、具备自我驱动的研究热情，热爱互联网行业，有较强的沟通能力和逻辑思维。 ,",职能类别：,大数据开发/分析,",,上班地址：福田区上梅林梅华路105号多丽工业区多丽科技楼406,108460687,"货拉拉于2013年在香港创立（Lalamove），2014年同时进入中国大陆和东南亚市场，是一家从事O2O同城、即时、整车货运业务的“互联网+物流”企业。货拉拉通过共享模式整合社会运力资源，搭建“快速、平价、安心、专业”的同城货运交易平台,用户通过APP一键呼叫附近货车，司机在线实时抢单。  货拉拉自登陆中国大陆以来，业务得到迅猛发展，截至2018年11月，货拉拉业务范围已覆盖128座中国大陆城市，中国港台及东南亚9座城市，平台注册用户2500万+，注册司机320万+，已成为国内同城货运平台的标杆性企业。  2017年12月，货拉拉针对企业用户推出企业版货运服务，平台配备专属车队及企业客服中心，通过智能化管理系统为企业实现用车的集约化管理。在货拉拉平台，企业只需开通一个管理账号并充值，便可管理多个部门及员工下单用车，管理者可在后台查看所有用车情况，确保合规；同时，管理员可直接开取用车发票，便捷员工走财务流程，提高工作效率。  为了给更多的司机提供安全可靠、经济实惠的货车，货拉拉汽车销售业务板块于2017年底开始启动，让更多的货拉拉平台司机和考虑加入货拉拉平台的司机获益。目前已和长安汽车等多个汽车品牌建立了合作关系，并在深圳、广州、杭州、东莞、佛山、上海、成都、重庆等城市开始了汽车业务。  公司未来的愿景，是将整个“共享模式”变成数据化平台，对社会资源进行有效优化，实现货车调度、在途运输、收货确认等全闭环服务流程，力求打造全国同城货运的调度中心。",外资（非欧美）,1000-5000人,"互联网,电子商务",22.569003,114.062996,福田区上梅林梅华路105号多丽工业区多丽科技楼406,深圳
数据分析岗,1,1.5万/月,陕西长银消费金融有限公司,西安,西安,3-4年经验,本科,招2人,,,",做五休二,周末双休,带薪年假,五险一金,节日福利,交通补贴,餐饮补贴,通讯补贴,高温补贴,补充医疗保险,",职位信息 1.负责对客户征信数据、交易数据、行为数据的挖掘和分析，收集、整理和描述数据，验证符合建模需要的数据； 2.负责了解业务人员及风控人员需求，制订模型应用策略，使用开发建模工具，协助部门经理进行模型开发、验证和分析，优化风控、信用评级和风险定价模型； 3.负责存量客户消费、还款行为分析及非金融行为分析，制订交叉销售标准，建立交叉销售客户筛选模型，提交目标客户清单。 4.通过对市场动向及互联网大数据的研究分析，提出对产品定位、目标客群等发展方向的建议方案； 5.通过对内部客户数据及经营业务量数据的监控和分析，找出现有产品的问题点并提出优化建议； 6.负责根据不同的要求进行相关的数据分析报告的撰写； 7.完成部门领导交办的其他事项。  任职资格要求： 1.35周岁（含）以下，全日制本科及以上学历，统计学、应用数学、金融类、计算机类相关专业； 2.3年（含）及以上金融工作经验，熟悉大数据应用和数理统计原理、数据库应用、数据统计与建模工具应用； 3.具备数据建模与分析应用能力，能协助完成数据建模与分析方案制定并参与实施应用； 4.熟悉风险管控基本理论，熟悉掌握SAS、R 等数据统计软件，具备较强的数据分析能力； 5.思维缜密、具有较强的学习能力与进取精神，有良好的团队合作意识和协调沟通能力； 6.有消费金融相关的数据建模、数据分析应用经验。 ,",职能类别：,风险控制,","关键字：,数据建模分析,",上班地址：凤城八路西北国金D座12层,108481138,&nbsp;&nbsp;&nbsp;&nbsp;陕西长银消费金融有限公司是经中国银监会批准，由长安银行股份有限公司控股并联合汇通信诚租赁有限公司、北京意德辰翔投资有限公司共同发起设立的全国性非银行金融机构，是全国第十六家、西北地区获准开业运营的消费金融公司，总部位于陕西省西安市，注册资本金3.6亿元。  &nbsp;&nbsp;&nbsp;&nbsp;消费金融公司以小额、分散为原则，主要为境内居民个人提供以消费为目的的贷款服务。2009年，我国开始启动消费金融公司试点，并于次年在首批4个城市批准成立了消费金融公司。2013年9月，试点范围扩大到全国10个城市。2015年6月，国务院常务会议决定将消费金融公司试点扩展至全国，以增强消费对经济的拉动力。在我国经济新常态下，消费金融将成为中国经济增长的新引擎，整个消费金融行业正迎来“黄金发展期”。  &nbsp;&nbsp;&nbsp;&nbsp;陕西长银消费金融有限公司按照中国银监会许可的业务范围面向全国展业，以信用方式为主，依托线上线下相结合的业务模式，发挥“单笔金额小、审批速度快、服务方式灵活”等特点，为全国消费者提供高效优质的消费信贷服务，以此为消费者带来全新的消费体验，践行“普惠金融”，致力于打造全国一流的消费金融服务企业。  &nbsp;&nbsp;&nbsp;&nbsp;热忱欢迎有志于投身消费金融领域的优秀人才加入我们，与公司共同成长进步，公司将为你提供一个施展才华、提升自我、实现梦想的广阔舞台！  ,国企,50-150人,"金融,投资,证券",34.347366,108.960349,凤城八路西北国金D座12层,西安
数据分析师,0.8,2.5万/月,深圳天极数据科技有限公司,深圳-南山区,深圳,1年经验,本科,招10人,,,",五险一金,周末双休,带薪年假,节日福利,",职位信息 1、具备常用机器学习、数据挖掘相关知识； 2、具备一种或多种开发语言（如Python java等）的程序和算法开发能力，掌握常用数据结构和算法； 3、掌握Oracle、MySQL等数据库； 4、有视频、地图、文本、社交等大数据分析能力； 5、有元数据、数据标准、数据安全等规划设计经验； 6、有大数据分析经验者、公共安全领域工作经验者优先； 7、跟踪最新产品知识和技术，规范整理编写技术支持文档； 8、有环保、金融、保险业务经验者优先； 9、具有良好的团队精神和奉献精神，工作认真负责，组织性、纪律性强，接受出差； ,",职能类别：,软件工程师,",,上班地址：深圳市南山区西丽街道同沙路168号凯达尔集团中心大厦B座705室,108484622,深圳天极数据科技有限公司于2018年5月在深圳前海深港合作区成立，注册资本1000万人民币，由留美博士和世界五百强企业在大数据领域有超过10年经验的精英团队组成，公司定位从事软件、网络技术及通信相关领域产品的集成、研发、销售、服务等。致力于智慧城市、平安城市、金融大数据等领域，旨在通过“互联网+服务”构建智慧城市、金融大数据等现代信息技术。,民营公司,少于50人,计算机软件,22.589952,113.951967,深圳市南山区西丽街道同沙路168号凯达尔集团中心大厦B座705室,南山区
数据分析师,5,8千/月,无锡我爱安源房地产经纪有限公司,无锡,无锡,3-4年经验,大专,招1人,,,",五险一金,绩效奖金,专业培训,",职位信息 岗位职责： 1.负责宏观信息、无锡区域房地产市场、竞争对手、重点楼盘和其它市场信息收集分析研究，发布定期周报、月报、年报； 2.监控公司及各区域（产品）市场地位、业绩达成，预警业内竞争风险； 3.负责无锡等区域的重点及新开区域的客户调研、楼盘研究。 4、负责大数据分析后营销相关内容的撰写及与其他部门的沟通工作。 任职资格： 1. 大专及以上学历，房地产经营管理、市场营销等相关专业； 2. 3年以上专业房地产策划机构或大型房公司市场研究分析及初步定位经验优先； 3. 具有策略性思考、分析、沟通、协调能力和市场敏锐感 工作时间：8:30-17:30，周末双休 ,",职能类别：,市场分析/调研人员,市场企划经理/主管,","关键字：,大数据,市场分析,市场,调研,",上班地址：无锡滨湖区海岸城41号海岸中心17楼,108488850,伟业我爱我家集团是一家中国大陆知名的国际化的房地产综合服务企业，集团面向政府、投资机构、金融机构、学术研究机构、房地产开发企业，以及广大以年轻白领为主的个人消费者，提供线上线下一体化的数据顾问、楼盘代理、新房交易、二手房买卖、房屋租赁、住宅资产管理、商业地产管理和海外房产交易等房地产全产业链的综合性平台化服务。 伟业我爱我家集团旗下拥有我爱我家、相寓、伟业顾问、汇金行、海外有家等多个在行业内知名的专业业务品牌，业务覆盖北京、上海、杭州、天津、南京、苏州、太原、成都、南宁、武汉、长沙、南昌、郑州、青岛、无锡等国内15个大中型城市。在集团国际化战略的指引和快速推进下，集团国际业务覆盖了美国、加拿大、澳大利亚、阿联酋、英国、葡萄牙、西班牙、希腊、意大利、新加坡、马来西亚、日本、韩国、中国台湾等五十余个国家和地区。 15个国内城市，50余个海外国家和地区，4.5万余名员工，100多个以新房项目为核心的售楼处，2215家遍布成熟商圈和社区的连锁门店，23年的新房代理服务经验积累，17年的二手房经纪服务经验积淀，17年的房屋资产管理服务底蕴，使伟业我爱我家集团形成了以行业领先的服务力为依托的强大的核心竞争力。依托扎实的线下业务基础，伟业我爱我家集团大胆变革，乐于创新，紧跟时代步伐，紧随客户需求变化，积极采用互联网、移动互联网等新技术、新工具和新手段，用心服务，创新价值。 伟业我爱我家集团积极推进互联网线上布局，1998年，伴随第一波互联网高潮，集团创立“我爱我家网5i5j.com”；2003年率先在业内建立“网站、门店、呼叫中心三网合一式的企业发展模式”；近几年来，伴随移动互联网的发展，伟业我爱我家集团基于我爱我家官网“5i5j.com”开发并陆续上线了集WAP手机版网站、APP、微信公众服务平台等多渠道的移动房产综合服务平台体系。截止目前，我爱我家官网累计总访客数突破1亿，“我爱我家”APP的总下载量逾300万人次，我要屋热线4008-515-515年呼入量逾200万人次。 随着伟业我爱我家集团的行业影响力日益壮大，消费者、员工、合作伙伴等房地产产业链上的各个环节，对伟业我爱我家集团这一房地产综合服务平台的要求会更高。未来的岁月，伟业我爱我家集团将继续秉承“爱、家、赢”的企业文化核心价值观，在互联网精神指引下，把业务继续向更多的战略重点城市，二三线城市，新兴发展区域，及海外拓展，进一步提升集团旗下各方面业务的市场占有率和各品牌的社会知名度。 伟业我爱我家集团将继续坚持开放、共享、连接的理念，携手同业，与更多的合作伙伴一起创造更多合作共赢的契机，为社会带来更多的就业机会，承担更多的社会责任；共同为广大客户提供更加优质的专业服务；为广大经纪人提供更加广阔的个人展业平台；一起推动房地产经纪行业的规范、健康、可持续发展，共同构建房地产经纪行业和谐生态圈。 ①企业宗旨 让想做事的人有机会；能做事的人有平台；做成事的人有地位有待遇。 ②企业愿景 成就团队梦想，服务客户至上，为实现城市美好生活而努力奋斗。 ③企业价值观 坚持感动服务，坚持团队作战，坚持执行力，坚持善念。 ,上市公司,500-1000人,房地产,31.49168,120.310595,无锡滨湖区海岸城41号海岸中心17楼,无锡
